time,luftdruck , temp ,tre200bn  ,tre200b0
2007010100,975.5,12.4,11.6,12.0
2007010101,975.1,12.2,11.3,11.8
2007010102,974.3,11.2,10.9,11.1
2007010103,973.8,11.3,10.5,10.9
2007010104,972.9,10.7,10.5,10.6
2007010105,    NA,10.8,10.2,10.6
2007010106,972.3,10.8,10.5,10.7
2007010107,972.2,11.1,10.6,10.8
2007010108,972.1,10.5,10.4,10.5
2007010109,971.4,10.6,10.4,10.5
2007010110,971.2,11.1,10.6,10.8
2007010111,971.3,10.5,10.0,10.3
2007010112,972.1,10.3, 9.2, 9.8
2007010113,973.6, 9.9, 8.9, 9.4
2007010114,974.2, 9.5, 6.2, 8.3
2007010115,974.4, 7.2, 6.5, 6.8
2007010116,974.4, 6.7, 6.5, 6.6
2007010117,973.8, 7.1, 6.7, 6.9
2007010118,972.3, 7.0, 5.6, 6.5
2007010119,971.4, 6.4, 3.8, 5.0
2007010120,970.1, 4.3, 4.1, 4.2
2007010121,968.8, 4.3, 3.1, 3.8
2007010122,968.0, 5.1, 2.4, 3.4
2007010123,967.6, 5.1, 3.8, 4.4
2007010200,968.3, 5.9, 4.5, 5.3
2007010201,967.7, 4.9, 3.6, 4.3
2007010202,967.6, 4.2, 3.7, 4.0
2007010203,967.2, 4.1, 3.7, 3.9
2007010204,967.8, 3.5, 3.1, 3.2
2007010205,969.1, 3.3, 2.7, 3.1
2007010206,970.6, 4.2, 2.8, 3.6
2007010207,972.9, 4.2, 3.9, 4.0
2007010208,974.3, 3.9, 3.4, 3.6
2007010209,975.2, 3.5, 3.3, 3.3
2007010210,975.3, 4.0, 3.5, 3.8
2007010211,974.6, 3.7, 2.1, 3.2
2007010212,974.1, 4.4, 2.4, 3.1
2007010213,974.1, 3.4, 2.9, 3.3
2007010214,974.6, 3.0, 2.5, 2.8
2007010215,974.6, 2.7, 2.0, 2.3
2007010216,974.8, 2.6, 2.3, 2.5
2007010217,974.9, 2.5, 1.4, 2.2
2007010218,975.0, 2.3, 1.4, 1.8
2007010219,975.5, 2.8, 2.5, 2.6
2007010220,976.4, 2.4, 2.1, 2.2
2007010221,977.2, 2.8, 2.4, 2.6
2007010222,977.7, 3.3, 3.1, 3.2
2007010223,978.1, 3.1, 2.4, 2.9
2007010300,978.6, 3.3, 2.5, 2.9
2007010301,979.1, 3.2, 3.0, 3.1
2007010302,979.5, 3.3, 3.0, 3.1
2007010303,979.5, 3.1, 2.8, 2.9
2007010304,980.1, 3.1, 2.9, 3.0
2007010305,980.6, 3.0, 2.9, 3.0
2007010306,981.1, 3.1, 3.0, 3.1
2007010307,982.0, 3.1, 3.0, 3.1
2007010308,982.8, 3.4, 3.1, 3.2
2007010309,982.8, 3.5, 3.3, 3.4
2007010310,983.0, 4.0, 3.4, 3.6
2007010311,982.5, 4.8, 3.9, 4.4
2007010312,981.5, 6.1, 5.6, 5.8
2007010313,981.0, 6.7, 5.4, 6.1
2007010314,980.8, 6.3, 6.1, 6.2
2007010315,980.3, 6.0, 5.3, 5.7
2007010316,979.8, 5.4, 4.9, 5.1
2007010317,979.1, 5.0, 4.4, 4.7
2007010318,978.5, 4.6, 4.0, 4.3
2007010319,977.9, 5.0, 4.3, 4.6
2007010320,977.6, 5.0, 4.7, 4.9
2007010321,976.8, 4.5, 3.7, 4.1
2007010322,976.1, 4.2, 4.1, 4.1
2007010323,975.1, 4.8, 4.4, 4.6
2007010400,974.1, 4.7, 4.2, 4.5
2007010401,973.5, 5.0, 3.9, 4.5
2007010402,972.2, 4.6, 4.0, 4.3
2007010403,971.0, 4.4, 4.2, 4.4
2007010404,970.2, 4.5, 4.0, 4.3
2007010405,969.4, 4.6, 3.7, 4.2
2007010406,968.9, 5.4, 4.4, 4.7
2007010407,968.8, 5.3, 5.1, 5.2
2007010408,968.5, 5.2, 4.8, 5.0
2007010409,968.4, 5.3, 5.0, 5.1
2007010410,967.9, 6.1, 5.5, 5.8
2007010411,967.5, 6.6, 6.4, 6.5
2007010412,967.4, 6.9, 6.4, 6.7
2007010413,967.4, 7.0, 6.7, 6.9
2007010414,967.4, 7.0, 6.9, 6.9
2007010415,967.6, 6.9, 6.5, 6.8
2007010416,968.2, 6.6, 6.3, 6.5
2007010417,968.1, 6.8, 6.6, 6.7
2007010418,968.6, 7.0, 6.5, 6.8
2007010419,969.0, 6.7, 6.3, 6.5
2007010420,969.3, 6.4, 6.2, 6.3
2007010421,970.0, 6.4, 6.2, 6.3
2007010422,970.5, 6.2, 6.1, 6.1
2007010423,970.9, 6.2, 5.9, 6.1
2007010500,971.5, 6.4, 6.1, 6.3
2007010501,972.3, 6.5, 5.8, 6.1
2007010502,972.7, 5.8, 5.6, 5.8
2007010503,972.9, 5.9, 5.7, 5.8
2007010504,973.1, 5.7, 5.5, 5.6
2007010505,973.5, 5.9, 5.6, 5.8
2007010506,974.0, 5.8, 5.4, 5.5
2007010507,974.4, 5.3, 5.2, 5.3
2007010508,974.8, 5.6, 5.1, 5.4
2007010509,975.3, 6.1, 5.5, 5.8
2007010510,975.4, 6.8, 6.5, 6.6
2007010511,975.2, 6.6, 6.4, 6.5
2007010512,974.9, 7.0, 6.5, 6.7
2007010513,975.2, 6.8, 6.7, 6.7
2007010514,975.3, 6.8, 6.6, 6.7
