time, niederschlag, sonnenschein
2007010100,  0.1, 0
2007010101,  0.0, 0
2007010102,  0.2, 0
2007010103,  0.9, 0
2007010104,  0.9, 0
2007010105,  0.4, 0
2007010106,  0.8, 0
2007010107,  1.5, 0
2007010108,  2.3, 0
2007010109,  3.7, 0
2007010110,  0.3, 0
2007010111,  4.1, 0
2007010112,  0.4, 0
2007010113,  0.0, 0
2007010114,  0.9, 0
2007010115,  1.3, 0
2007010116,  0.7, 0
2007010117,  0.0, 0
2007010118,  0.0, 0
2007010119,  0.0, 0
2007010120,  0.0, 0
2007010121,  0.0, 0
2007010122,  0.0, 0
2007010123,  0.0, 0
2007010200,  0.0, 0
2007010201,  3.8, 0
2007010202,  0.0, 0
2007010203,  0.3, 0
2007010204,  1.4, 0
2007010205,  3.1, 0
2007010206,  0.6, 0
2007010207,  0.0, 0
2007010208,  0.0, 0
2007010209,  0.0, 0
2007010210,  0.0, 0
2007010211,  0.5, 0
2007010212,  0.4, 6
2007010213,  0.4, 0
2007010214,  0.6, 0
2007010215,  0.9, 0
2007010216,  0.3, 0
2007010217,  1.2, 0
2007010218,  0.2, 0
2007010219,  0.4, 0
2007010220,  0.7, 0
2007010221,  0.0, 0
2007010222,  0.0, 0
2007010223,  0.0, 0
2007010300,  0.0, 0
2007010301,  0.0, 0
2007010302,  0.0, 0
2007010303,  0.0, 0
2007010304,  0.0, 0
2007010305,  0.0, 0
2007010306,  0.0, 0
2007010307,  0.0, 0
2007010308,  0.0, 0
2007010309,  0.0, 0
2007010310,  0.0, 0
2007010311,  0.0, 0
2007010312,  0.0,30
2007010313,  0.0,44
2007010314,  0.0,60
2007010315,  0.0,21
2007010316,  0.0, 0
2007010317,  0.0, 0
2007010318,  0.0, 0
2007010319,  0.0, 0
2007010320,  0.0, 0
2007010321,  0.0, 0
2007010322,  0.0, 0
2007010323,  0.0, 0
2007010400,  0.0, 0
2007010401,  0.0, 0
2007010402,  0.0, 0
2007010403,  0.0, 0
2007010404,  0.0, 0
2007010405,  0.0, 0
2007010406,  0.0, 0
2007010407,  0.0, 0
2007010408,  0.0, 0
2007010409,  0.0, 0
2007010410,  0.0, 0
2007010411,  0.0, 0
2007010412,  0.0, 0
2007010413,  0.0, 0
2007010414,  0.0, 0
2007010415,  0.1, 0
2007010416,  0.7, 0
2007010417,  0.0, 0
2007010418,  0.3, 0
2007010419,  0.6, 0
2007010420,  0.0, 0
2007010421,  0.0, 0
2007010422,  0.3, 0
2007010423,  0.0, 0
2007010500,  0.0, 0
2007010501,  0.5, 0
2007010502,  0.8, 0
2007010503,  0.0, 0
2007010504,  0.0, 0
2007010505,  0.0, 0
2007010506,  0.0, 0
2007010507,  0.0, 0
2007010508,  0.0, 0
2007010509,  0.0, 1
2007010510,  0.0,12
2007010511,  0.0, 0
2007010512,  0.0, 0
2007010513,  0.0, 0
2007010514,  0.0, 0
2007010515,  0.0, 0
2007010516,  0.0, 0
2007010517,  0.0, 0
2007010518,  0.0, 0
2007010519,  0.0, 0
2007010520,  0.0, 0
2007010521,  0.0, 0
2007010522,  0.0, 0
2007010523,  0.0, 0
2007010600,  0.0, 0
2007010601,  0.0, 0
2007010602,  0.0, 0
2007010603,  0.0, 0
2007010604,  0.0, 0
2007010605,  0.0, 0
2007010606,  0.0, 0
2007010607,  0.0, 0
2007010608,  0.0, 0
2007010609,  0.0, 0
2007010610,  0.0, 4
2007010611,  0.0,20
2007010612,  0.0,20
2007010613,  0.0,10
2007010614,  0.0, 0
2007010615,  0.0, 0
2007010616,  0.0, 0
2007010617,  0.0, 0
2007010618,  0.0, 0
2007010619,  0.0, 0
2007010620,  0.0, 0
2007010621,  0.0, 0
2007010622,  0.0, 0
2007010623,  0.0, 0
2007010700,  0.0, 0
2007010701,  0.0, 0
2007010702,  0.1, 0
2007010703,  0.7, 0
2007010704,  0.8, 0
2007010705,  1.1, 0
2007010706,  0.1, 0
2007010707,  0.0, 0
2007010708,  0.1, 0
2007010709,  0.0, 0
2007010710,  0.0, 0
2007010711,  0.0, 0
2007010712,  0.0, 0
2007010713,  0.0, 4
